ticker,name,sector,score,classification,roic,revenue_cagr_3yr,gross_margin,operating_margin,net_debt_to_ebitda,fcf_margin,dcf_upside_pct,current_price,dcf_intrinsic_value,shares_outstanding,red_flag_count,bottom_line,run_date
KMI,"Kinder Morgan, Inc.",Energy,56.4,Neutral — Monitor,0.059300342967893514,-0.040941527613036044,0.5287240951762414,0.27891598275963864,4.419534624494914,0.1706913857235638,-0.5161659518187499,31.08,15.037562217473253,2224825757.0,2,Neutral — Monitor / DCF: overvalued,2026-05-31
KLAC,KLA Corporation,Technology,86.1,Elite Compounder,0.5026486691048823,0.09685534331651668,0.6090980853989936,0.41248438446279345,0.7507204109122734,0.3078022487689782,-0.8072244471429015,1921.71,370.4587076810147,130627521.0,0,Elite Compounder / DCF: overvalued,2026-05-31
KHC,The Kraft Heinz Company,Consumer Defensive,34.6,Disqualified,-0.058465836722954925,-0.019809627469887126,0.33313286825435007,0.18591131424905782,,0.14678053083152914,9.948917133726141,24.01,262.88350038076464,1185777638.0,5,Disqualified / DCF: undervalued,2026-05-31
KR,Kroger Company (The),Consumer Defensive,38.7,Fails Quality Screen,0.05306052563818015,-0.0013868956327633963,0.23300957722057408,0.012801235420815215,3.7086299704809864,0.02340797334091925,7.22023485779113,62.15,510.88759641171873,616560677.0,2,Fails Quality Screen / DCF: undervalued,2026-05-31
LHX,"L3Harris Technologies, Inc.",Industrials,57.5,Neutral — Monitor,0.07584100797264205,0.08619178709998354,0.25726046192545166,0.09833066544706151,2.677058353317346,0.12266178824605534,0.16637632794548607,315.18,367.6184910418583,186294951.0,2,Neutral — Monitor / DCF: undervalued,2026-05-31
LH,Labcorp Holdings Inc.,Healthcare,50.5,Neutral — Monitor,0.07158211546232761,0.05552020379451106,0.28759936065139013,0.10867492850333652,2.9779400804888954,0.08644107886494119,-0.09406489553105024,260.06,235.59748326819508,82000000.0,2,Neutral — Monitor / DCF: fair,2026-05-31
LRCX,Lam Research Corporation,Technology,83.8,Elite Compounder,0.6825192837885291,0.02285830538778799,0.48705023885591736,0.32008564303688447,-0.2922379679664993,0.29367531531807145,-0.7727854103238324,318.18,72.295138143163,1250571000.0,0,Elite Compounder / DCF: overvalued,2026-05-31
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,62.0,Neutral — Monitor,0.08316485772852326,0.16321494041702844,0.21679351448545253,0.11859625191821803,3.8081297781092673,0.03566722986064824,1.8894175602654626,43.18,124.76505025226268,138072803.0,0,Neutral — Monitor / DCF: undervalued,2026-05-31
LVS,Las Vegas Sands Corp.,Consumer Cyclical,76.8,Attractive Quality,0.1843661169468457,0.4685532350721122,0.49788737804409616,0.23730506261043252,2.6545899088686373,0.13674425750941077,3.214976127173833,50.57,213.15134275118072,662637325.0,1,Attractive Quality / DCF: undervalued,2026-05-31
LDOS,"Leidos Holdings, Inc.",Technology,74.6,Attractive Quality,0.178563174950174,0.06057944749313893,0.18044718760917666,0.12227786188424362,1.718151540383014,0.09461977407709328,4.102964329910002,127.8,652.1588413624982,125785466.0,1,Attractive Quality / DCF: undervalued,2026-05-31
LEN,Lennar Corporation,Consumer Cyclical,32.4,Disqualified,0.08719526281949712,0.005081632765289168,0.09907659458435202,0.0804519937353844,0.7344533276574444,0.0008243792789373859,,89.78,0,215244398.0,6,Disqualified / DCF: unknown,2026-05-31
LIN,Linde plc,Basic Materials,72.6,Attractive Quality,0.11761049438131245,0.006176060609136114,0.4883481433531454,0.2722885894191726,1.753505028954587,0.14973812746425,-0.6975798182056415,497.69,150.5115002772343,462347310.0,0,Attractive Quality / DCF: overvalued,2026-05-31
LYV,"Live Nation Entertainment, Inc.",Communication Services,68.4,Attractive Quality,0.26958266754055327,0.14744538940043328,0.25546392133835705,0.048913501095930914,1.6672371554402265,0.012101666073710332,-0.8892812965983391,168.41,18.646136839873723,232712799.0,1,Attractive Quality / DCF: overvalued,2026-05-31
LKQ,LKQ Corporation,Consumer Cyclical,46.2,Fails Quality Screen,0.06769970099620816,0.02184739022420734,0.3856860303274485,0.07962786609039631,3.2884882108183078,0.062046736502820304,1.1743705903352044,27.12,58.968930409890746,254790835.0,1,Fails Quality Screen / DCF: undervalued,2026-05-31
LMT,Lockheed Martin Corporation,Industrials,49.0,Fails Quality Screen,0.2480527771366727,0.043838941337237536,0.10152169278328536,0.10301407099456347,2.0143233642718004,0.0920477561027609,0.7556781243737577,530.45,931.2994610740599,230563608.0,3,Fails Quality Screen / DCF: undervalued,2026-05-31
